一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级账号粉丝数;信任度指数3;一级评论总点赞数;信任度指数4;信任度值;归一化信任度值
解放生产力消灭消费需求;笑哭有道理啊笑哭;0.8532333366877105
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;草，那不得把ai学爆？;0.23702126227327502
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;AI未响应;-0.005212390846289772
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;哪都有你狗子;0.05022633732753401
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;回复凌雪Lingsnow在哪都能被你抓到热词系列知识增加;0.3203102008083558
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;你错了，逼不死，反而大量低质量作曲者会用上这个工具，然后量产那就完了，逼死低质量作曲者的只能是全民审美水平的提高，否则他们只会越过越舒服微笑;0.04687299576506421
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;回复样洋养羊然后优秀作曲者的积极性会被打击，烂钱香;-0.12017905762668857
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;好家伙当年要是有你终结者也不会杀那么多人;0.37124282588114865
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;heartofandroid（）;0.0
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;结局：AI被塞爆了;0.9474820047771011
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;学学骨折光作曲（？）;0.4546567185606356
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;那AI越学越傻OK;0.22056040374451813
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;回复样洋养羊暗示ai审美水平不行吗，乳艾了。;0.4909660037236738
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;回复fps40哈哈哈日常乳ai;0.9103750867118456
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;回复fps40ai除非有情感，不然怎么可能有审美这种东西;0.05553136775304135
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;AI作曲exe已停止运行;0.39060038548374787
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;回复皮皮虾就是喜欢浪现在也是需要数据训练的，你给他输入的数据是有审美的啊;-0.14472907697018655
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;亲爱的你处理器炸了（;0.9018813013856997
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;三流歌手即便用AI作曲也应是千篇一律的，三流永远都是三流，如果拿学猫叫跟三文小說比，就不仅是作曲的区别了，丰富的情感这一块是劣质品所不能体现的（还有这两首完全没有可比性）歪嘴;-0.9665170170832507
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;笑话;-0.6216216216216213
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;回复皮皮虾就是喜欢浪审美本身就是后天的，人类也是通过训练获得的审美。你觉得这个东西美，真的是你自己认为它美吗？你觉得格尔尼卡美吗？刚懂事的小孩子会觉得格尔尼卡美吗？不告诉你这是毕加索的画，不告诉你画的是西班牙战争，你还觉得它美吗？都不见得吧。。;0.9999687747040396
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;草，ai直接爆了;-0.20586286318630198
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;我已经在学了哦。;0.4644549763033172
AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;AI塌了（;0.09107418761064556
-----;------;------;0.4808871711716051;0.9999687747040396;-0.9665170170832507;1.9664857917872902;0.016757104106354892;100;4.107582515171356e-05;633;0.8307086614173228;0.34032133621326577;0.8307086614173228
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;未来：随机地图，随机bgm，每次运行都不一样;0.7783900062298719
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;星露谷冬天BGM;-0.3788826942173913
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复青山七海58乖乖;-0.7616124141260545
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复青山七海58随机NPC，随机事件，随机奖励doge;-0.8558862727693295
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复Z40然后攻略组被累死doge;-0.30777588095117636
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;实时光影，实时地图，实时剧情，实时配乐doge;0.9509227378850345
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复猫的薛定二全roll游戏攻略组的任务就是研究机制了;0.8107528980522065
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复青山七海58目前还真有游戏做到了，不过除了bgm其他都基本实现的，看我上面那个链接;-0.2881869507647463
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复vic123看不到链接;-0.8733306677419488
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复马化腾梦露在楼里面;-0.60476176801349
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复vic123没有啊，是不是被删了，或者只有你能看到，B站好像不让上传链接;-0.8627015425800604
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复vic123我知道有个叫ai地下城的，用神经网络生成随机剧情，而且你不管输入什么东西进去它都能识别;-0.9830550592785292
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复青山七海58其实随机bgm现在也是能轻松实现的，一般游戏用例如wwise的y;-0.06770874867792265
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复水瓶座的yu随机容器里面放不同的bgm即可，不过考虑到游戏的内容资源制作需要时间包括可能给到音频项目的内存资源分配不会那么多，一般就很少有游戏在某个场景整随机bgm的;-0.12723848319387576
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复青山七海58随机游戏;-0.4607195130156294
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复Z40还要有随机角色技能，随机功法;0.9619000419100892
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复青山七海58我也想说，把ai用来做随机地图它不香吗笑哭，甚至随机剧情结构，随机人物;-0.3727445338037101
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复逐月的夸父《矮人要塞》这三个都有，《暗黑破坏神》《火炬之光》等有随机地图;0.7660867477954658
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;未来某个游戏，随机地图配上随机音乐，无数玩家中总会有人发现ssr级别的随机音乐或者地图，那真的是发现宝藏一般的快乐;0.9994850455443698
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;随机帧数，随机体验doge;0.6652055894803903
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复逐月的夸父已经被人们玩过了。而且其实并不一定需要人工智能;0.6320552007084437
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复Eimi0w0现在的游戏更像是基本单元的随机生成或者拼凑，是搭积木而不是雕塑;-0.9940635728435214
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复逗猫的大爷快进到生成机制要用到神经网络，直接研究个鬼doge;-0.8323002031258648
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;最终幻想7re;0.9507337223278924
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;随机剧情，随机立绘，随机文本脱单doge;0.7321552468942769
似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;回复汤圆甜的好感觉CHATGPT或许能成;-0.26949864039911775
-----;------;------;0.7215061972898654;0.9994850455443698;-0.9940635728435214;1.9935486183878912;0.003225690806054393;69;2.8342319354682358e-05;448;0.5879265091863517;0.37124429690277777;0.5879265091863517
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复错了但是我是来喷那些人的;-0.948884454025479
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;如果不标明是ai作曲而是说某某曲师估计评论区又是另一般风采doge;-0.9651959709671454
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;讲道理这不比什么鸡你太美强了100倍？;0.7328697054704258
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;巴赫从来就没想表达啥，巴赫只是一个无情的数学复制机器;0.9520245044433855
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复煮酒Z鸽子汤无情的复调机器2333;-0.6988943719591423
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复煮酒Z鸽子汤这就太刻板印象了吧;-0.8785314484575684
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复1115舒适;-0.2839009009914515
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复煮酒Z鸽子汤onlygod;-0.8787572268358326
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;从某种意义上来讲艺术的灵魂就是在创作的过程中产生的有时一个作品有没有真正的灵魂，取决于作者在创作它时赋予了什么样的情感与心思，而不是取决于外人是怎么看待这个作品的。对于一个艺术作品，最懂它的人只有其创作者本身。而ai属于算法编曲，可以说是并没有情感推敲的创作过程，只是总结了很多作品套路而产生的一团悦耳音频所以认为其没灵魂是完全合适的;0.9999999999999987
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复哆啦0903逛了一圈您的空间，感觉你所感兴趣的方面基本与艺术没有什么关系，您说出这样的看法我也能理解;0.7522222841091717
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复哆啦0903你这被楼下变相骂没文化了呀吃瓜;-0.9962634294552422
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray一厢情愿，人各有所好，比如我不喜欢现在音乐热度排行前十，比如别人不喜欢我听的歌，比如我觉得某人舞蹈水平很一般，但被别人称之为艺术？;0.8625802857012421
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复说唱听我的营销炒作类的作品不去关注就行了;-0.71852754962367
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复哆啦0903鸡你太美没那么难听吧翻白眼只是比较空耳搞笑;-0.8679998793504828
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;但ai本就没有灵魂，它是把各种作曲家的风格吸纳整合，一个大熔炉。它不知道为什么要这么写，只是感觉应该这么写。ai没有生平经历，没有自己独有的思想，写出的曲子表达的思想都是融合其他人的，它甚至不知道为什么要这么融合。音乐应该是表达自我的工具，没有自我的ai没有可以表达的东西。等真的出现了底特律变人里的那种仿生人，才算真的有灵魂。;0.9999999987489181
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray我倒觉得你楼上那位并不完全说错。被创作出来的只是文本，只有文本被观众接受了才是作品。作品是作者和观众共同创造的。;0.9996263281423605
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复LordOwl那么那些没有展示到大众的作品就不是艺术品了吗？;0.4883323768286547
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray我个人认为艺术品与文本和作品并不是同类词。不过观众是决定艺术品价值的重要部分。;0.9984708924800818
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复LordOwl艺术品的价值不一定必须得是可以以金钱衡量的价值，当一个作品被炒作且抬举到具有一定金钱价值的时候说句难听话，其实这样的结果有时候并不是因为作品本身被大众欣赏而产生的，这只是宣传的结果;-0.7767916939571693
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray那你的意思是当这个作者去世了，那么他作品的灵魂也一并消失了？;0.9608946627714865
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复闲修散人你咋理解的作品在被创作出来的那个时候就已经赋予了灵魂，创作过程就是赋予灵魂的过程，这个灵魂不是外界人赋予的。我的意思是决定一个作品的价值并不是由大众决定的;0.9999998475602982
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray可你知道为什么会有图灵测试吗，以为连你自己都不能向别人证明你有灵魂;0.35603875243362904
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复闲修散人艺术的创作意义是不能用完全的唯物辩证法来判断的;0.857734882632452
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray好吧，那我们没什么可以继续下去的基准了;-0.7469860632304224
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复闲修散人以唯物方式证实灵魂，如同在美食视频面前提热量一样可笑吃瓜;0.9499722428100392
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复教练今天学什么什么东西听多了都会变的有点好听，不难听并不代表鸡你太美，可以不被骂，我们只是听多而已;-0.08641379747534028
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;虽然我听不出来巴赫，但是我能听出来雪村想表达东北人都是活雷锋doge;0.9670871420052498
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray创作本身只是人作为处理机对信息处理的结果，“人类的本质是复读机”不是完全没有实际意义的。;0.9594050367188951
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形你如此理解我算是知道中国人为什么越来越没有文化了OK;0.3072345888884338
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray你对于“文化”的认知来自前人传递的信息，而这些一开始只是他们对自然世界的观察。如果你认为某种传递认识比起对现实本身的观察更加重要，我只能恐怕这是某种生物性质的错觉。;0.9999998784624717
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形将文化与情感的东西物质化理解，这就是当今中国人平均审美水平逐渐下降的根本原因。中华之蛊以西医来治，你觉得这样成吗？;0.9681352933403584
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形很多艺术作品的根本意义就是将非现实存在的事物描绘出来，或是将现实以不现实的方式表现出来，如果你非要将人类的这种行为比作一种34不理性的感官行为34，那可真是对不起人类上千年的文明历程;0.9999999982355723
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形现在因为这种普遍的意识让中国传统文化被日韩盗走结果还有很多中国人自己甚至都分辨不清那是自己的文化。新年，中秋节等传统节日能真正理解其含义的人越来越少，且节日意识逐渐淡化，很多人中秋节甚至过的没韩国中秋过的丰富。只注重物质哲学，等到什么时候自己的传统文化全部丢干净了就来不及了;0.9653805644897266
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray这是依你之见，但你的举证在哪？照这样说我完全可以说“对数理规律的理解和运用结合不足，用错觉指导创作，导致艺术创作难以符合客观规律，质量难以提升。用蛊术不用医术，这样行吗？”;0.9989135781233576
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形可现在你的语气就像是34因为实际科学比文化值钱，所以我们就应该抛弃一切文化只顾科学34是这个意思吧;-0.3587225239216847
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形用蛊毒与西医也只是举个例子，只是想说明34西医无法治疗蛊毒34，就像是在美食视频前任何热量的说法都是苍白无力的;-0.7715311506866291
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray西医治不了蛊毒是哪里的说法，这我可有不同的认识。难道蛊还能下在异次元，开刀抽不出来？;-0.9971154911002917
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray为什么很多年代是朝贡圈最辉煌啊，他们技术力高，和什么传统倒是关系不大。反而衰落了才讲究过去有什么。传教士对于琉璃塔目瞪口呆，但并不在乎窗花剪纸。;0.9976612487118399
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形你知道蛊毒是什么吗？;-0.3342273424549935
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复雪者风形难道传统技术不是传统之一吗？很多技术的失传就是因为唯物的不重视才导致这些文化艺术向的技术失传;0.8419599755113434
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray抱歉，我的意思是“当前年代该角度的顶尖技术”而不是什么“过去的技术”琉璃塔在那个年代就是顶尖技术的结晶，至于当时的人认为什么角度剪纸更美，这个其实无所谓;0.99611988952675
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray请说，随意;-0.8463024741593024
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;纯音乐的话可以，但是要真正要用我们汉字填词那就不行了，汉字有独特的韵味;0.9999626518626561
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复煮酒Z鸽子汤无知;-0.7153493136205022
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复煮酒Z鸽子汤数学的美感对咱这普通人就可以从音乐提现。;0.9838317394209148
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;巴赫出了名只在乎逻辑和技巧。而不在乎要表达什么情感。;0.9559707512326154
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复Ray情感无非是电信号刺激这可以分析创作在这一点上人和机器并无不同你说的其实是自我意识这个机器暂时没有，很长时间也不会有的问题但你有没有意识并不能被感知所以在听众的角度上只要这组数据恰好引起共鸣就有灵魂了，这就是数据量和算法的问题了，但一定是可解的，并且一定比人解的更好越来越好。;0.9995833047215659
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复武侯鱼王如果你有过自主创作的经历就不会这么说了;0.8302722406366894
评论区那些说没有灵魂的，听不出来它想表达什么的，搞得好像自己就能欣赏巴赫，勃拉姆斯似的。;回复nyooi呵呵，全篇TTpDDp连我一个非作曲专业的学生都不屑使用;0.05692842149959776
