一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级评论账号的粉丝数;信任度指数4;信任度值;归一化信任度值
能不能说说，为啥我支付成功，他不显示会员[苦涩];非常抱歉出现这样的情况！私信里之前已经回复您了，我们会全力尽快解决;-0.9313795023071163
所以ai写文要吃同人饭的只能忍受换头，但ai画画想吃同人饭的那可太简单了，对画手圈冲击极大;其实只能说明文字类AI的精度低吧，要是和画图类AI一样可以选定关键字标签不断训练应该也不会比一般跟风的同人小作家差;-0.005631280029119834
-----;------;------;0.44700872352074306;0.8883861670123663;-0.005631280029119834;0.8940174470414861;0.5529912764792569;480;3.803152322034458e-05;0.4000076063046441;0.6666793438410734
超有活力;[doge]年纪大了只能拼青春了;0.8925672452228159
-----;------;------;0.0;0.8925672452228159;;0;1.0;93;7.368607623941763e-06;0.40000147372152484;0.666669122869208
#朱一龙2022吾心挚爱#[哇]#朱一龙2022无畏前行#↻朱一龙，白日梦的终点就是你，此后日光大亮，你是我心中所有的渴求与想象。↺@朱一龙晚上好噢;晚安[团圆兔];0.9927624240467849
-----;------;------;0.0;0.9927624240467849;;0;1.0;257;2.0362711390892828e-05;0.4000040725422782;0.6666734542371302
#朱一龙2023前路灿灿#[2023]#朱一龙2023朱事平安#朱一龙，多谢你如此耀眼，做我平淡岁月里的星辰。@朱一龙晚上好[抱一抱];[团圆兔];0.9879991704337223
-----;------;------;0.0;0.9879991704337223;;0;1.0;2296;0.00018191745273731492;0.4000363834905475;0.666727305817579
球图7元图[抱一抱][抱一抱][抱一抱];要图？;0.23976608187134496
-----;------;------;0.0;0.23976608187134496;;0;1.0;10348;0.0008198962547585953;0.40016397925095176;0.6669399654182528
别太美[泪][泪][泪][泪];爱你[亲亲][亲亲][亲亲][亲亲];0.17536836820391688
-----;------;------;0.0;0.17536836820391688;;0;1.0;174;1.3786427167374911e-05;0.4000027572854335;0.666671262142389
别上明侦，明侦对嘉宾要求很高，玩不好容易被骂;回复@黑屏黑屏黑:哈哈哈哈我算是从第一季看到第八季，豆瓣资深玩家[doge][doge]（玩的不好真的会被骂的很厉害哈哈哈哈）;0.9960522043613886
别上明侦，明侦对嘉宾要求很高，玩不好容易被骂;不过我还真不知道这个，我是这节目路人粉偶尔看一下[傻眼]能想到的国内剧本杀节目也就这个了;0.2618193121780854
-----;------;------;0.3671164460916516;0.9960522043613886;;0;1.0;2315;0.00018342286719812023;0.5468832630101004;0.9114721050168338
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];回复@黑屏黑屏黑:因朋进组出专辑开演唱会，姐们加油[丰收了];0.23773942234198642
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];回复@Hillwer_:现在来看，还是梦一个因朋2可能性更大[苦涩];0.7212348065284799
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];回复@黑屏黑屏黑:好像是的，买了版权。阵容现在有瓜，不过真假难辨[单身青蛙]很希望她们参加但感觉可能性不大呜呜;0.04273664801811172
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];女子推理社是准备效仿韩国那个女高推理班吗，那个节目特别好，如果mg做得跟那个质量差不多的话会很好看[哆啦A梦吃惊]确实老节目会有不包容新人的情况，如果她们参加全女推理综也是再好不过了[求关注];0.9998681778537051
-----;------;------;0.37969816800856265;0.9998681778537051;;0;1.0;455;3.605071471928497e-05;0.5518864773463689;0.9198107955772813
晚安;[鲜花][鲜花][鲜花];0.6802964296606346
-----;------;------;0.0;0.6802964296606346;;0;1.0;41874;0.0033177750069348106;0.400663555001387;0.6677725916689783
晚安，商医[鲜花]http://t.cn/A6CNEDKv;好梦哦[心];0.8321656398914326
-----;------;------;0.0;0.8321656398914326;;0;1.0;31610;0.0025045342687397758;0.40050090685374795;0.6675015114229131
晚安[心]http://t.cn/A6CN1MAe;[鲜花][鲜花][鲜花];0.6802964296606346
-----;------;------;0.0;0.6802964296606346;;0;1.0;12621109;1.0;0.6000000000000001;1.0
晚安商医[打call][打call]http://t.cn/A6CNRZES;晚安啦[月亮];0.7385075628911968
-----;------;------;0.0;0.7385075628911968;;0;1.0;34933;0.002767823334700619;0.40055356466694014;0.6675892744449001
每天努力一点点，惊喜就在不远处等着你。晚安🌈;晚安啦[抱一抱][抱一抱][抱一抱];0.9932470939714286
-----;------;------;0.0;0.9932470939714286;;0;1.0;5266;0.000417237502663197;0.40008344750053265;0.666805745834221
晚安[鲜花];[抱一抱][抱一抱][抱一抱];0.9888010227717605
-----;------;------;0.0;0.9888010227717605;;0;1.0;7040;0.0005577956738983872;0.4001115591347797;0.6668525985579661
晚安[爱你][爱你][爱你]http://t.cn/A6CNnbeZ;[心][心][心];0.9153097204935656
-----;------;------;0.0;0.9153097204935656;;0;1.0;1078807;0.08547640306410474;0.417095280612821;0.6951588010213682
晚安[心]http://t.cn/A6CN8Rqt;好梦哦[鲜花];0.7406515482288609
-----;------;------;0.0;0.7406515482288609;;0;1.0;55902;0.004429246273049381;0.4008858492546099;0.6681430820910164
晚安[月亮]http://t.cn/A6CNnpDr;[打call][打call][打call];-0.10464308298026648
-----;------;------;0.0;;-0.10464308298026648;0;1.0;11168;0.0008848667735933506;0.4001769733547187;0.6669616222578644
晚安[月亮]http://t.cn/A6CNERto;[月亮][月亮][月亮];0.9535384641978415
-----;------;------;0.0;0.9535384641978415;;0;1.0;1213936;0.09618298994169212;0.41923659798833846;0.6987276633138974
晚安[月亮]http://t.cn/A6CNjvl3;做个好梦[月亮];0.8560180080542497
-----;------;------;0.0;0.8560180080542497;;0;1.0;8088;0.0006408311662628063;0.4001281662332526;0.6668802770554209
晚安[打call]来和茂茂互动吖[羞嗒嗒][羞嗒嗒];[心][心][心];0.9153097204935656
-----;------;------;0.0;0.9153097204935656;;0;1.0;29995;0.0023765740395713243;0.40047531480791426;0.6674588580131904
晚安[月亮]http://t.cn/A6CN3PAr;[月亮][月亮][月亮];0.9535384641978415
-----;------;------;0.0;0.9535384641978415;;0;1.0;1144084;0.09064845252505148;0.4181296905050103;0.6968828175083505
晚安http://t.cn/A6CNEFsX[许愿星];[心][心][心];0.9153097204935656
-----;------;------;0.0;0.9153097204935656;;0;1.0;46482;0.0036828776298501184;0.40073657552597003;0.6678942925432833
晚安[惊喜];[月亮][月亮][月亮];0.9535384641978415
-----;------;------;0.0;0.9535384641978415;;0;1.0;619;4.9044818486236035e-05;0.40000980896369726;0.6666830149394953
一年之际在于春，春天来了需努力！晚安🎊✨💕http://t.cn/A6C6JEdh;晚安咯[心];0.6167654276818466
-----;------;------;0.0;0.6167654276818466;;0;1.0;5266;0.000417237502663197;0.40008344750053265;0.666805745834221
晚安[心]http://t.cn/A6CNmltF;周六晚安[月亮];0.7385832342304506
-----;------;------;0.0;0.7385832342304506;;0;1.0;5017;0.0003975086499926433;0.40007950172999857;0.6667991695499975
晚安呀;[鲜花][鲜花][鲜花];0.6802964296606346
-----;------;------;0.0;0.6802964296606346;;0;1.0;18591;0.0014730084337279711;0.40029460168674563;0.6671576694779093
晚安啦[月亮]http://t.cn/A6CNEeK4;好梦哦[抱一抱];0.9118865087382262
-----;------;------;0.0;0.9118865087382262;;0;1.0;6128;0.00048553577977973253;0.400097107155956;0.6668285119265932
图6/9都是我的爱啊！我的爱❤️[偷笑]。最后一图，绝大多数情况应该就是用平菇炸的，虽然也算好吃，但真不是鸡枞的味儿[偷笑]。点心推荐一家叫源贸园的，有种叫“回饼”的小点心是我的爱。介绍给你们，但不确定合你们口味[偷笑];回复@水草的迷:他家应该没有网店的;-0.14846909794457797
图6/9都是我的爱啊！我的爱❤️[偷笑]。最后一图，绝大多数情况应该就是用平菇炸的，虽然也算好吃，但真不是鸡枞的味儿[偷笑]。点心推荐一家叫源贸园的，有种叫“回饼”的小点心是我的爱。介绍给你们，但不确定合你们口味[偷笑];看了下淘宝店没有回饼;0.02787700962173867
-----;------;------;0.08817305378315832;0.02787700962173867;-0.14846909794457797;0.17634610756631663;0.9118269462168417;83;6.5762842235179175e-06;0.40000131525684474;0.6666688587614078
这家豆花米线我吃了;回复@水草的迷:对的，就记得人多;0.4583349823264897
这家豆花米线我吃了;回复@dongdonglv:排队队伍很长;-0.7217715388742425
这家豆花米线我吃了;回复@水草的迷:估计是一般，因为没有太深印象了;-0.2378626582688772
这家豆花米线我吃了;好吃吗？[嘻嘻];0.89745409387499
-----;------;------;0.6232561538232887;0.89745409387499;-0.7217715388742425;1.6192256327492325;0.19038718362538376;2058;0.0001630601558072274;0.32548994701063044;0.5424832450177173
请问这盘多少米出？;出了已经~;0.11465892597968064
-----;------;------;0.0;0.11465892597968064;;0;1.0;41;3.2485259417377664e-06;0.4000006497051884;0.6666677495086473
西湖大学？;东林大学;0.9213098076876225
-----;------;------;0.0;0.9213098076876225;;0;1.0;6;4.753940402543073e-07;0.40000009507880807;0.6666668251313467
原图发我;1;-0.3462033462033467
-----;------;------;0.0;;-0.3462033462033467;0;1.0;11;8.7155574046623e-07;0.4000001743111481;0.6666669571852467
这是外传吗;回复@清玥YING:因为好像绝版了，二手也买不到的样子;-0.452979926643023
这是外传吗;Reply@Rabbitwool_梦比优斯出蓝光了么:噢……这个我一直没看完的，结果最终篇居然成了稀有商品？;0.9429108986551948
这是外传吗;应该算是最终篇，这两篇就是完结了。;0.5985303234671753
-----;------;------;0.5937435831517941;0.9429108986551948;-0.452979926643023;1.3958908252982178;0.3020545873508911;72;5.7047284830516875e-06;0.35832040914677066;0.5972006819112844
哇去玩了吼吼看[抱一抱];回复@绿箭五糖薄荷糖:[抱一抱][抱一抱]人比景色更美;0.9987897117885072
哇去玩了吼吼看[抱一抱];云南真的好美[awsl];0.8688990062122912
-----;------;------;0.06494535278810798;0.9987897117885072;;0;1.0;187;1.481644758792591e-05;0.42598110440476084;0.7099685073412679
真好;回复@L_2hi:五天;-0.8054107042044871
真好;回复@绿箭五糖薄荷糖:玩了几天;-0.1352090309214562
真好;恋恋不舍[苦涩];0.7261061111594251
-----;------;------;0.6268597054269447;0.7261061111594251;-0.8054107042044871;1.5315168153639123;0.23424159231804387;200;1.584646800847691e-05;0.3444436883915971;0.5740728139859951
羡慕啊;回复@绿箭五糖薄荷糖:[泪]我也想打工;0.8858571357897755
羡慕啊;要回去打工了[苦涩];0.8312018572039253
-----;------;------;0.027327639292925143;0.8858571357897755;;0;1.0;72;5.7047284830516875e-06;0.4109321966628667;0.6848869944381111
这话我曾经在一个烩菜那看过[单身狗]最发疯的一月我还复制了这段话来着;和烩菜说同一句，晦气[左哼哼];-0.9183087201969771
这话我曾经在一个烩菜那看过[单身狗]最发疯的一月我还复制了这段话来着;我发的时候在看红楼梦，看到这一句，刚好想到百年之后哪怕姐这样的美人也只化为一抔黄土，百年之后的人们只能对着她的影像空自叹息慨叹自己生不逢时…而这个世界还需要多久才能孕育出下一个他，或许再也不会有了。;0.9999065907826279
-----;------;------;0.9591076554898025;0.9999065907826279;-0.9183087201969771;1.918215310979605;0.04089234451019752;34;2.6938995614410748e-06;0.4000005387799123;0.6666675646331871
你好帅;谢谢，你也是;0.19313304721030078
-----;------;------;0.0;0.19313304721030078;;0;1.0;62;4.912405082627842e-06;0.40000098248101656;0.6666683041350275
安逸;累趴[裂开][裂开][裂开];-0.9958114082887883
-----;------;------;0.0;;-0.9958114082887883;0;1.0;352;2.788978369491936e-05;0.400005577956739;0.6666759632612316
仙木;嘿嘿;0.2881355932203393
-----;------;------;0.0;0.2881355932203393;;0;1.0;792;6.275201331356856e-05;0.40001255040266276;0.6666875840044378
大理床单厂艺术区;谢谢[爱你];0.5966134046268674
-----;------;------;0.0;0.5966134046268674;;0;1.0;19;1.5054144608053064e-06;0.4000003010828922;0.6666671684714869
好多拼贴感真的无语，说他做了三天赶工的我都信[doge];回复@SUMMER旧梦安雪:太敷衍了实锤拿政哥转移视线了;-0.509472252129836
好多拼贴感真的无语，说他做了三天赶工的我都信[doge];[允悲]笑死了这件真的有一种王阳明再现的熟悉感;0.9984873227673585
-----;------;------;0.7539797874485973;0.9984873227673585;-0.509472252129836;1.5079595748971946;0.24602021255140272;21;1.6638791408900756e-06;0.4000003327758282;0.6666672212930469
这种质量拖了一年？忘川多久没出皮肤了，想要💰又没有产能怪谁;从去年3.19就开始画饼了;0.8405760151626587
-----;------;------;0.0;0.8405760151626587;;0;1.0;42;3.327758281780151e-06;0.40000066555165636;0.6666677759194272
是这样的，而且正常出大部分人都会买;[单身狗]我其实觉得吧这个皮肤也就中规中矩，说不上有多丑，但是你说它有多好看吧，它就给我一种“哦终于出了啊”的感觉，而不是“啊啊啊好喜欢！我期待的皮肤终于出了！！！”;0.9998251079445282
-----;------;------;0.0;0.9998251079445282;;0;1.0;9;7.130910603814609e-07;0.4000001426182121;0.6666669043636867
也不是，这个皮肤就算没前面这些事，客观来说设计也真的蛮一般的，尤其下半身特别敷衍;确实，下半身感觉好单薄;0.2292732590360873
-----;------;------;0.0;0.2292732590360873;;0;1.0;0;0.0;0.4;0.6666666666666666
我也是[泪];好难过[泪][泪][泪];0.9986127731741439
-----;------;------;0.0;0.9986127731741439;;0;1.0;26;2.0600408411019984e-06;0.4000004120081682;0.6666673533469469
云南卫视[doge]或者b站找，下沧澜app看高清的;回复@王一博的竹马天降是翰衍吖:在B站搜《与彩云相遇》，必须从第一期看起，因为这个版本是重新剪接过的;0.893626265158157
云南卫视[doge]或者b站找，下沧澜app看高清的;回复@懒嚼基亚:为啥B站的第二期好像和芒果那个第二期预告不一样？;-0.959504555941957
云南卫视[doge]或者b站找，下沧澜app看高清的;app在哪下;-0.04408992136562229
云南卫视[doge]或者b站找，下沧澜app看高清的;B站也是有高清版的;0.2660143940222497
-----;------;------;0.6681760379809478;0.893626265158157;-0.959504555941957;1.853130821100114;0.07343458944994297;321;2.543358115360544e-05;0.2966493376885871;0.49441556281431176
能任意转换就没有彩偶单独存在的必要了;回复@嗷呜嗷呜呱:你说得对;-0.4747625291126827
能任意转换就没有彩偶单独存在的必要了;回复@早桑未丧:那紫猫偶可以任意转换怎么啦，不就是相当于给猫灵偶出个皮肤;-0.1457775368831178
能任意转换就没有彩偶单独存在的必要了;回复@嗷呜嗷呜呱:喵思灯不提供任何购买渠道，说白了就是一个和喵灵偶有相同作用的活动代币。你哪期活动代币不都是单独的？;0.9137543360667231
能任意转换就没有彩偶单独存在的必要了;单纯好看挽救口碑呗，他都作死成这样了;0.8451391471790386
能任意转换就没有彩偶单独存在的必要了;喵思灯怎么说;-0.3165540715091981
-----;------;------;0.5934632863693409;0.9137543360667231;-0.4747625291126827;1.3885168651794058;0.3057415674102971;67;5.308566782839765e-06;0.3596830032252118;0.5994716720420196
哈哈哈哈哈哈现在这里不会被卡住吗;不会！;-0.20859450581057026
-----;------;------;0.0;;-0.20859450581057026;0;1.0;3880;0.00030742147936445205;0.4000614842958729;0.6667691404931214
早也潇潇晚也潇潇，早也点点晚也点点～;春城无处不飞花，百万内赞靠大家[666];0.9863475014656768
-----;------;------;0.0;0.9863475014656768;;0;1.0;10540;0.0008351088640467331;0.4001670217728094;0.6669450362880155
傲娇的原因，是🌲🍊的底气~;风声雨声读书声声声入耳，内👍🏻总👍🏻百万👍🏻，赞赞归祎。;0.4896312489297667
-----;------;------;0.0;0.4896312489297667;;0;1.0;543;4.302316064301481e-05;0.4000086046321286;0.6666810077202142
我愿意放弃修长生，与你共享刹那芳华。我愿意坚持到底，与你共享百万喜悦。;昨夜星辰昨夜风，今日百万今日冲[干饭人];0.995456545935905
-----;------;------;0.0;0.995456545935905;;0;1.0;10504;0.0008322564998052073;0.4001664512999611;0.666944085499935
慢吞吞～总有借口拖延温存～你还想让百万停顿？;争渡。争渡。惊起一滩鸥鹭。速渡。速渡。冲起一波内👍🏻。;-0.2504426209331756
-----;------;------;0.0;;-0.2504426209331756;0;1.0;11054;0.0008758342868285188;0.4001751668573657;0.6669586114289427
向标记点前进！点指向处干活！👉🏻;巴山楚水凄凉地，二十四时近百万[来];0.9248417925005121
-----;------;------;0.0;0.9248417925005121;;0;1.0;1469;0.0001163923075222629;0.4000232784615045;0.6667054641025074
希望爹爹给我涨小用钱。希望橘橘给祎点内👍🏻。;巴山楚水凄凉地，二十四时近百万[来][赢牛奶];0.9561385445386041
-----;------;------;0.0;0.9561385445386041;;0;1.0;197;1.5608770988349756e-05;0.40000312175419767;0.6666718695903293
早也潇潇晚也潇潇，早也点点晚也点点～;几处早莺争暖树，谁家蜜橘未点赞[心动超崽];0.9936766830569661
-----;------;------;0.0;0.9936766830569661;;0;1.0;49;3.882384662076843e-06;0.40000077647693244;0.6666679607948873
各自担心着失态，会尖叫不会点赞[上课了];角声满天秋色里，集合漫步百万中。;0.9837847763652054
-----;------;------;0.0;0.9837847763652054;;0;1.0;269;2.1313499471401444e-05;0.4000042626998943;0.6666737711664904
我姓韩，名芸汐，你叫我芸汐就好了我乃🌲🍊人，你只管跟着我一起冲就好了。;一道残阳铺水中，一波内赞往前冲[彩虹屁];0.6716058960213711
-----;------;------;0.0;0.6716058960213711;;0;1.0;290;2.297737861229152e-05;0.4000045954757225;0.6666743257928707
听说A市女霸总小祎喜欢有实力的，想要征服小1还不快快叫出百万！;一道残阳铺水中，一波内赞往前冲[彩虹屁][哇];0.6417532672410036
-----;------;------;0.0;0.6417532672410036;;0;1.0;904;7.162603539831563e-05;0.4000143252070797;0.6666905420117993
物理公式的G，就是你～完成百万的橘～就是你～;昨夜星辰昨夜风，今日百万今日冲[干饭人];0.995456545935905
-----;------;------;0.0;0.995456545935905;;0;1.0;203;1.6084165028604064e-05;0.40000321683300577;0.6666720280550095
[老师好][老师好][老师好];回复@a酒心巧克力糖糖:我也会将你们的爱心完整转交给孩子们[心]同时让让更多的人感受到正能量偶像孟鹤堂先生粉丝的关爱[心];0.9999964009145506
[老师好][老师好][老师好];我会和孟鹤堂及其粉丝一样，继续公益献爱心的！;0.9996307100060557
-----;------;------;0.0001828454542474045;0.9999964009145506;;0;1.0;1362;0.00010791444713772776;0.40009472107112654;0.6668245351185441
想出去玩的瘾又犯了[泪];回复@橙子茶Yi:哈哈哈因为请假都是周五或者周一，连着周末，周末从不加班，疫情那次特殊除外;0.9767173796833888
想出去玩的瘾又犯了[泪];回复@宋之啊:为啥我觉得你总有时间出去玩[允悲];0.939385630270489
想出去玩的瘾又犯了[泪];回复@橙子茶Yi:一年只有5天年假还不能一次性请[泪];0.6349950540476013
想出去玩的瘾又犯了[泪];有假期吗，约吗[笑cry]我还有好几个月假期;0.5197595922615894
-----;------;------;0.19509566133677997;0.9767173796833888;;0;1.0;5151;0.0004081257835583228;0.47811988969142366;0.7968664828190393
不是在家吗出去玩了呀;参加活动嘛，这都好几年的库存;0.5384913658388841
-----;------;------;0.0;0.5384913658388841;;0;1.0;101;8.00246634428084e-06;0.4000016004932689;0.666669334155448
黑嬴政，吸嬴政的血，拿嬴政挡枪，还要拿嬴政赚钱，多大仇啊[哆啦A梦害怕];回复@小橘喵的糯米团子君:。。。确实有些人设好不合理[失望];0.5792921089321112
黑嬴政，吸嬴政的血，拿嬴政挡枪，还要拿嬴政赚钱，多大仇啊[哆啦A梦害怕];回复@假装纯情男高_:自闭人设和政哥主线……只能说政哥纯纯工具人了[泪];0.9772595369039883
黑嬴政，吸嬴政的血，拿嬴政挡枪，还要拿嬴政赚钱，多大仇啊[哆啦A梦害怕];其他没太了解只是这次拿政哥当工具人真的太太太太太太太生气了;-0.8621442812370634
-----;------;------;0.7901844613634613;0.9772595369039883;-0.8621442812370634;1.8394038181410517;0.08029809092947415;106;8.398628044492761e-06;0.3481947006427831;0.5803245010713051
冲喜这个词，我泪目了[苦涩][苦涩][苦涩];我真的就是这种感觉[泪][泪]谁想要喜欢的被当作工具啊[悲伤][悲伤][悲伤];0.9999999897989671
-----;------;------;0.0;0.9999999897989671;;0;1.0;9;7.130910603814609e-07;0.4000001426182121;0.6666669043636867
仔细一看发现这皮肤还挺敷衍，觉得政厨好打发了属于是;回复@希姆凛领主夫人:那确实！;-0.0045593166010522435
仔细一看发现这皮肤还挺敷衍，觉得政厨好打发了属于是;回复@假装纯情男高_:哈哈哈，这个形象我也是觉得很好看的，但是说他是准备了一年，我就会觉得很敷衍啦，抛开敷衍这点不说这皮肤确实好看的;-0.6969332778678805
仔细一看发现这皮肤还挺敷衍，觉得政厨好打发了属于是;[悲伤][悲伤]呜呜其实我个人觉得像是遇见了长生的政哥这个点子我还是有点喜欢（但我不会买！）;0.9991619620991616
-----;------;------;0.6963059010548908;0.9991619620991616;-0.6969332778678805;1.6960952399670421;0.15195238001647893;4;3.1692936016953817e-07;0.33930337581441994;0.5655056263573665
而且这个皮肤的下半身比上半身还敷衍[拜拜];其实我最不满意的是手套变成整个了[doge];0.09645383955249054
-----;------;------;0.0;0.09645383955249054;;0;1.0;15;1.1884851006357682e-06;0.40000023769702014;0.6666670628283669
政哥真的是被他当工具人，纯纯秦黑没办法[怒]玩家的话它是一点不听;感觉秦被拿出来当工具人好几次了。。。[悲伤];0.988443875108713
-----;------;------;0.0;0.988443875108713;;0;1.0;136;1.0775598245764299e-05;0.40000215511964915;0.6666702585327485
我的评价就是这个皮肤它好看，但是它不值得[拜拜][拜拜];已经气死了[泪][泪][泪];0.9959839637499428
-----;------;------;0.0;0.9959839637499428;;0;1.0;15;1.1884851006357682e-06;0.40000023769702014;0.6666670628283669
真的无语了，这个彩云，桃源废话的意思就是地卡就是这个抽了，保底都给你弄出来了;对啊就是不改呗就是头铁呗[怒];-0.6392145198360817
-----;------;------;0.0;;-0.6392145198360817;0;1.0;1;7.923234004238454e-08;0.40000001584646805;0.6666666930774466
没原皮好看;[失望][失望]害;-0.9855554269784805
-----;------;------;0.0;;-0.9855554269784805;0;1.0;156;1.236024504661199e-05;0.40000247204900935;0.6666707867483488
政厨表示，这游戏是不是觉得秦始皇不配穿秦国的黑色[嘻嘻];[悲伤]对啊我本来还挺期待玄黑的;0.9877698570137614
-----;------;------;0.0;0.9877698570137614;;0;1.0;1;7.923234004238454e-08;0.40000001584646805;0.6666666930774466
中午好呀;[鲜花];0.33333333333333415
-----;------;------;0.0;0.33333333333333415;;0;1.0;243;1.9253458630299445e-05;0.40000385069172606;0.66667308448621
比个爱心给你么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒;[嘻嘻];0.8888888888888888
-----;------;------;0.0;0.8888888888888888;;0;1.0;60;4.753940402543073e-06;0.4000009507880805;0.6666682513134674
豆豆摘了幾多粒？;一篮子;0.0
-----;------;------;0.0;0.0;0.0;0;1.0;168;1.3311033127120604e-05;0.40000266220662545;0.666671103677709
上午好[心];晚好;0.027017742260800892
-----;------;------;0.0;0.027017742260800892;;0;1.0;299;2.369046967267298e-05;0.40000473809393455;0.6666745634898908
踩踩[太开心];[亲亲];0.0
-----;------;------;0.0;0.0;0.0;0;1.0;444;3.517915897881874e-05;0.4000070358317958;0.6666783930529929
慧慧，晚安[惊喜];晚好;0.027017742260800892
-----;------;------;0.0;0.027017742260800892;;0;1.0;659;5.221411208793142e-05;0.4000104428224176;0.6666840713706959
中午好么么哒[打call];么;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;328;2.598820753390213e-05;0.4000051976415068;0.6666753294025113
这昆虫小吴不怕了[羞嗒嗒];回复@TT-WJY:好嫌弃的表情[哈哈];-0.47803387805259545
这昆虫小吴不怕了[羞嗒嗒];回复@TT-WJY:她还敢近看，勇气可嘉[允悲];0.8899925127777373
这昆虫小吴不怕了[羞嗒嗒];感觉还挺怕的http://t.cn/A6CNUKsE;0.08960024412282719
-----;------;------;0.5611825298607974;0.8899925127777373;-0.47803387805259545;1.3680263908303327;0.31598680458483364;413;3.272295643750482e-05;0.35087427836953994;0.5847904639492332
您说的是这个吗？http://t.cn/A6CNZcVd;我只看到一条！你这个好多云！[色][色][色];-0.9673415490915538
-----;------;------;0.0;;-0.9673415490915538;0;1.0;504;3.9933099381361815e-05;0.4000079866198763;0.6666799776997937
所以你们有看到按摩时两个人的情侣手链吗[喵喵]http://t.cn/A6CNw00l;哭了[泪]我刚想说，竟然有一样的街坊[泪][泪];0.9985101103640839
