发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;发布者是否大v;发布者性别;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;评论者认证;评论者性别;主题相似度;标记
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;173;路德维希不是疯子;其他;武汉武汉武汉[哇][哇][哇];2023-02-05 18:01:50;8;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;65;如果平行失控1307;其他;哇哦林俊杰[抱一抱][抱一抱][抱一抱][彩虹屁][彩虹屁][彩虹屁];2023-02-05 18:09:17;21;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;260;陌晗蔓YJ;安徽;合肥合肥合肥;2023-02-05 18:03:48;6;-1;m;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;2230;冷酷羊羊子;江苏;苏州！;2023-02-06 00:15:21;4;-1;m;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;146;穎兒_hye;广东;宇宙的有趣快來廣州[打call][打call][打call];2023-02-05 19:14:22;4;0;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;21668;JM家个銘;广东;深圳[赢牛奶];2023-02-10 15:37:00;1;0;m;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;262;是一只梨呀;河南;嗯嗯郑州郑州郑州;2023-02-05 18:52:38;1;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;176;修勾贝肯泥;广东;广州广州[泪];2023-02-06 02:54:44;1;220;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;546;哈瓜札记;台湾;我猜五月天也会帮忙宣传[舔屏];2023-02-05 18:21:14;3;0;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;312;amei_0809;陕西;昆明昆明昆明;2023-02-06 11:58:09;0;0;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;60;这里是热小河;安徽;等个内地[悲伤][悲伤];2023-02-05 18:40:45;0;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;11;芒果味的松鼠;其他;武汉武汉武汉！！！;2023-02-05 18:16:28;0;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;40;北七一定会早睡早起;四川;快来成都！！！[舔屏][舔屏][舔屏];2023-02-05 18:01:32;0;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;4;Shakespeare2023;上海;老林[抱一抱];2023-02-11 18:01:55;0;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;227;挑个表白时辰;台湾;广州广州广州广州！！！！！！！//@银河畅享家:广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州广州;2023-02-07 17:51:09;0;0;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;227;挑个表白时辰;台湾;广州！！！！！！！！！！！;2023-02-07 17:50:06;0;0;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;110;wytamm00;广东;这个台湾的演唱会m;2023-02-06 19:40:19;0;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;110;wytamm00;广东;吗;2023-02-06 19:40:26;0;-1;f;0.0;1
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;109;Stella_星星星星;江苏;苏州苏州苏州;2023-02-06 16:49:13;0;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;74;如果说宜静最后不是嫁给了大雄;上海;上海上海上海！;2023-02-06 12:35:30;0;-1;m;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;47;TheStolenChild;海外;重庆重庆！;2023-02-06 10:18:21;0;-1;m;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;331;cc橘子汽水啦;上海;江浙沪！求求了！;2023-02-06 08:13:40;0;-1;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;245;JUNJUN-0612;其他;广州深圳！！！;2023-02-06 02:06:58;0;200;f;0.0;0
告五人樂團;中国台湾;494000;39;74;877;謝謝哥林俊杰宇宙的有趣，的，都要起去告五人第一次新世界巡迴演唱會宇宙的有趣主辦單位：相信音樂相遇音樂節目製作：必應創造專案行銷：芬達整合行銷主要贊助：飛比價格、美國軍規防摔殼、大誠保險經紀人、亞洲萬里通、五福旅遊售票系統：拓元售票系統六拓元售票正式開賣告五人小巨蛋演唱会告五人演唱会告五人巡演告五人樂團的微博视频;@林俊杰#告五人小巨蛋演唱会##告五人演唱会##告五人巡演#告五人樂團的微博视频;1;f;143;SuperFreakyHo1y;重庆;快来重庆成都[开学季];2023-02-06 00:53:33;0;-1;m;0.0;0
