标题;帖子账号粉丝数;发布者;发布时间;弹幕数;点赞数;硬币数;收藏数;转发数;评论数;发布者是否经过认证;发布者是否为商业性质账号;用户名;评论内容;评论时间;评论点赞数;一级账号粉丝数;标记;评论者性别;评论者会员等级;评论者是否开通大会员;评论者是否经过认证
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;泉愈;回复Iriscdent网站能流畅登上但客户端很慢，up你客户端转的快吗;1678673348;0;16;1;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;夜無陌;感谢分享保卫萝卜哇;1676397685;3;211;0;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Galliumyet;mubert的曲子如果要做独立游戏的bgm是买最贵的那个套餐还是第二贵的，里面写独立和主要是什么意思不太清楚;1678797335;1;1;0;保密;3;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Zheyxh;很好的辅助工具和灵感来源;1677570519;1;88;0;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;ThCircle;用了效果不错，不知道想听音游曲要选哪些tag好;1677991179;1;7;0;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;柳什么翎什么柳;Up笑哭我第一个就不行他说给我发电子邮箱验证半天没有东西发过来;1676351607;1;11;0;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;太平大贤良师;chat用外国邮箱试试，我拿hotmail注册的。;1676405782;0;11;1;男;6;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;柳什么翎什么柳;回复太平大贤良师星星眼行谢谢UP;1676423638;0;11;1;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;好看哇;我有歌词，但不懂编曲，麻烦你看过来吧，我为乐乐丫丫还有我们的华人写了三首歌词作为公益，急需编曲共同完成创作。;1680272471;0;10;0;保密;4;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Ziyuzii;特地过来补个谢谢分享;1681642215;0;173;0;保密;6;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Global_Cheater;从真人到唱片，从唱片到MP3，从MP3到流媒体，从流媒体到复制生成，这就是，你们。;1681547696;0;0;0;保密;3;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;稻草人的衣服;可以的;1680601520;0;1;0;保密;5;1;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;SRKL;求视频的BGM吃瓜;1677124637;0;26;0;男;5;2;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;KX的世界;记得给我一份，多谢呲牙;1678111201;0;26;1;保密;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Iriscdent;RubyLeaves这张专辑里的一首歌叫AtMidnight;1678670088;0;26;1;男;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;Iriscdent;回复KX的世界httpswwwbilibilicomvideoBV1hd4y1U7Hgspmidfrom333337searchcardallclickampvdsource24e3ba3562d8c9d1df5fe261093b392f可以直接在B站听;1678670130;0;26;1;男;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;KX的世界;回复Iriscdent十分感谢呲牙;1678686632;0;26;1;保密;5;0;-1
分享几个AI作曲网站，解放生产力！;322;Iriscdent;2023-02-11 10:44:47;23;1385;654;5116;509;53;无;0;SRKL;回复Iriscdent3Q;1678713758;0;26;1;男;5;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;VRForest;AI可以逼死低质量的制作者，真正有个性的优秀作曲者不会受到影响。所以AI什么时候学学山茶花作曲doge;1612020061;633;100;0;保密;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;JIUKI阿波;山茶花草;1612838494;3;100;1;男;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;九五CHN;草，那不得把ai学爆？;1612841054;13;100;1;保密;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;恋恋恋之瞳;AI未响应;1612864029;12;100;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;凌雪Lingsnow;哪都有你狗子;1612868210;0;100;1;男;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;VRForest;回复凌雪Lingsnow在哪都能被你抓到热词系列知识增加;1612872668;0;100;1;保密;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;洋洋养羊-;你错了，逼不死，反而大量低质量作曲者会用上这个工具，然后量产那就完了，逼死低质量作曲者的只能是全民审美水平的提高，否则他们只会越过越舒服微笑;1612939904;205;100;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;洋洋养羊-;回复样洋养羊然后优秀作曲者的积极性会被打击，烂钱香;1612939949;47;100;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;账号已注销;好家伙当年要是有你终结者也不会杀那么多人;1612965764;4;100;1;保密;0;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;LuckybeastPlus;heartofandroid（）;1612967660;2;100;1;保密;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;烈风_Rep;结局：AI被塞爆了;1613079570;2;100;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;虹羽RFeather;学学骨折光作曲（？）;1613127186;3;100;1;保密;5;0;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;wxx9248;那AI越学越傻OK;1613133830;2;100;1;男;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;fps40;回复样洋养羊暗示ai审美水平不行吗，乳艾了。;1613211488;1;100;1;男;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;洋洋养羊-;回复fps40哈哈哈日常乳ai;1613226738;1;100;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;皮皮虾就是喜欢浪;回复fps40ai除非有情感，不然怎么可能有审美这种东西;1613266766;1;100;1;保密;5;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;小白猫xiaobaimao;AI作曲exe已停止运行;1613311549;0;100;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;白鸟折翅-不死犹飞;回复皮皮虾就是喜欢浪现在也是需要数据训练的，你给他输入的数据是有审美的啊;1613387878;2;100;1;男;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;DAYDREAM_Aa;亲爱的你处理器炸了（;1613396928;0;100;1;保密;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;深雲;三流歌手即便用AI作曲也应是千篇一律的，三流永远都是三流，如果拿学猫叫跟三文小說比，就不仅是作曲的区别了，丰富的情感这一块是劣质品所不能体现的（还有这两首完全没有可比性）歪嘴;1613546974;0;100;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;河马大叔又回来啦;笑话;1613789524;0;100;1;保密;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;阿阳是个傻东西;回复皮皮虾就是喜欢浪审美本身就是后天的，人类也是通过训练获得的审美。你觉得这个东西美，真的是你自己认为它美吗？你觉得格尔尼卡美吗？刚懂事的小孩子会觉得格尔尼卡美吗？不告诉你这是毕加索的画，不告诉你画的是西班牙战争，你还觉得它美吗？都不见得吧。。;1613812101;1;100;1;男;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;流泪貓貓虫;草，ai直接爆了;1613837704;0;100;1;保密;4;0;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;烈风_Rep;我已经在学了哦。;1663514603;0;100;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;咕咕咕の小苦;AI塌了（;1665830146;0;100;1;男;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;猪毛虫;似乎很适合用做游戏配乐，比如那种日式西式奇幻风格RPG，在某个安全地带的小镇或者村子。;1611564586;448;69;0;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;是热巴的小情人呀mua;未来：随机地图，随机bgm，每次运行都不一样;1611769734;66;69;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;易永;星露谷冬天BGM;1611823369;13;69;1;男;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;都是土豆;回复青山七海58乖乖;1611879741;0;69;1;男;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;Z肆零;回复青山七海58随机NPC，随机事件，随机奖励doge;1611879914;12;69;1;男;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;猫的薛定二;回复Z40然后攻略组被累死doge;1611912335;11;69;1;男;6;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;bili_54816311518;实时光影，实时地图，实时剧情，实时配乐doge;1611929148;6;69;1;男;4;0;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;逗猫的大爷;回复猫的薛定二全roll游戏攻略组的任务就是研究机制了;1611931221;3;69;1;保密;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;vic123__;回复青山七海58目前还真有游戏做到了，不过除了bgm其他都基本实现的，看我上面那个链接;1612269480;2;69;1;男;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;马化腾梦露;回复vic123看不到链接;1612285766;0;69;1;女;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;vic123__;回复马化腾梦露在楼里面;1612321186;0;69;1;男;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;马化腾梦露;回复vic123没有啊，是不是被删了，或者只有你能看到，B站好像不让上传链接;1612323307;0;69;1;女;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;是热巴的小情人呀mua;回复vic123我知道有个叫ai地下城的，用神经网络生成随机剧情，而且你不管输入什么东西进去它都能识别;1612408933;3;69;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;MyNamesYu;回复青山七海58其实随机bgm现在也是能轻松实现的，一般游戏用例如wwise的y;1612456077;0;69;1;男;5;0;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;MyNamesYu;回复水瓶座的yu随机容器里面放不同的bgm即可，不过考虑到游戏的内容资源制作需要时间包括可能给到音频项目的内存资源分配不会那么多，一般就很少有游戏在某个场景整随机bgm的;1612456253;0;69;1;男;5;0;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;千里走单骑懂我意思吗;回复青山七海58随机游戏;1612584213;0;69;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;南山秋田;回复Z40还要有随机角色技能，随机功法;1612625409;0;69;1;保密;5;2;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;逐月的夸父;回复青山七海58我也想说，把ai用来做随机地图它不香吗笑哭，甚至随机剧情结构，随机人物;1612694982;0;69;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;是热巴的小情人呀mua;回复逐月的夸父《矮人要塞》这三个都有，《暗黑破坏神》《火炬之光》等有随机地图;1612696722;0;69;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;ellker;未来某个游戏，随机地图配上随机音乐，无数玩家中总会有人发现ssr级别的随机音乐或者地图，那真的是发现宝藏一般的快乐;1613029975;11;69;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;-404-Not_Found-;随机帧数，随机体验doge;1613056837;0;69;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;比例745487;回复逐月的夸父已经被人们玩过了。而且其实并不一定需要人工智能;1613207860;0;69;1;保密;6;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;逐月的夸父;回复Eimi0w0现在的游戏更像是基本单元的随机生成或者拼凑，是搭积木而不是雕塑;1613216766;0;69;1;保密;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;bili_54816311518;回复逗猫的大爷快进到生成机制要用到神经网络，直接研究个鬼doge;1669009983;0;69;1;男;4;0;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;阿帕顿;最终幻想7re;1674186865;0;69;1;男;5;1;-1
与AI比赛作曲，AI：辣鸡人类，还没等你数完两只手老子就写出来吊打你了;21000;Chleh;2021-01-24 13:55:24;47;1869;131;1401;465;627;音乐人Chleh;0;汤圆甜的好;随机剧情，随机立绘，随机文本脱单doge;1674523026;0;69;1;男;5;0;-1
